VT("/net2") X,VT("/net2") Y,VT("/net7") X,VT("/net7") Y,VT("/net14") X,VT("/net14") Y,VT("/net039") X,VT("/net039") Y,VT("/net069") X,VT("/net069") Y
9.99648002681882e-07,0.7831691419794184,9.99648002681882e-07,8.846944356223652e-05,9.99648002681882e-07,5.171644284155113e-05,9.99648002681882e-07,9.876757037673164e-05,9.99648002681882e-07,9.873142901130078e-05
9.996513771284083e-07,0.7863691436429352,9.996513771284083e-07,6.37320016285938e-05,9.996513771284083e-07,3.387569697309299e-05,9.996513771284083e-07,6.720112219940245e-05,9.996513771284083e-07,6.682163135853993e-05
9.99655018307063e-07,0.788844746961321,9.99655018307063e-07,2.34375083700176e-05,9.99655018307063e-07,6.897152895042644e-06,9.99655018307063e-07,1.552811164042913e-05,9.99655018307063e-07,1.466097369397705e-05
9.996560132991254e-07,0.7894576284770282,9.996560132991254e-07,1.820748977009725e-05,9.996560132991254e-07,3.727966300076118e-06,9.996560132991254e-07,7.983624960347709e-06,9.996560132991254e-07,7.033115541895887e-06
9.996580032832501e-07,0.7907030508690974,9.996580032832501e-07,1.324998028569826e-05,9.996580032832501e-07,1.441699415873869e-06,9.996580032832501e-07,7.474854445838812e-07,9.996580032832501e-07,-1.528788288450565e-07
9.996610672315141e-07,0.7921340710657012,9.996610672315141e-07,-7.122633964000027e-06,9.996610672315141e-07,-1.02970274061591e-05,9.996610672315141e-07,-2.180380888601881e-05,9.996610672315141e-07,-2.245832925288909e-05
9.996643253959737e-07,0.7929598599414558,9.996643253959737e-07,-3.059806739116562e-05,9.996643253959737e-07,-2.401606251820782e-05,9.996643253959737e-07,-4.754104425851047e-05,9.996643253959737e-07,-4.809897410252154e-05
9.996688939037912e-07,0.793482919437457,9.996688939037912e-07,-5.594717487455085e-05,9.996688939037912e-07,-3.798159910585388e-05,9.996688939037912e-07,-7.439121826095483e-05,9.996688939037912e-07,-7.479790887286362e-05
9.996744279542042e-07,0.7941306538262437,9.996744279542042e-07,-6.459754342518699e-05,9.996744279542042e-07,-4.010887344190719e-05,9.996744279542042e-07,-7.941363585255082e-05,9.996744279542042e-07,-7.944396022365951e-05
9.996801854543599e-07,0.7950693024321265,9.996801854543599e-07,-6.800828028335015e-05,9.996801854543599e-07,-3.9631755533909e-05,9.996801854543599e-07,-7.716781557201994e-05,9.996801854543599e-07,-7.685117865570752e-05
9.996825825747386e-07,0.7955379603302679,9.996825825747386e-07,-5.633040761828458e-05,9.996825825747386e-07,-3.108605021282018e-05,9.996825825747386e-07,-6.167367107197359e-05,9.996825825747386e-07,-6.126112507556555e-05
9.996873768154961e-07,0.7964891084786956,9.996873768154961e-07,-4.856546940327419e-06,9.996873768154961e-07,3.168006929451497e-06,9.996873768154961e-07,2.72241184397413e-06,9.996873768154961e-07,3.542790072772317e-06
9.996886481877898e-07,0.7967309891218292,9.996886481877898e-07,8.625384228785307e-06,9.996886481877898e-07,1.174452243343699e-05,9.996886481877898e-07,2.016607528454534e-05,9.996886481877898e-07,2.114758612922974e-05
9.996911909323772e-07,0.7971352591613605,9.996911909323772e-07,2.156959520145882e-05,9.996911909323772e-07,1.897269080837497e-05,9.996911909323772e-07,3.703033899143759e-05,9.996911909323772e-07,3.801854366262428e-05
9.99692191625637e-07,0.7972638276322874,9.99692191625637e-07,2.308233843139933e-05,9.99692191625637e-07,1.926389775188955e-05,9.99692191625637e-07,3.862496095631509e-05,9.99692191625637e-07,3.949451424064181e-05
9.996941930121568e-07,0.7974805915561567,9.996941930121568e-07,3.034421730444342e-05,9.996941930121568e-07,2.273210777097086e-05,9.996941930121568e-07,4.550921057522568e-05,9.996941930121568e-07,4.611703680789867e-05
9.996970288237283e-07,0.797752669211614,9.996970288237283e-07,4.620983305710868e-05,9.996970288237283e-07,3.14716597691626e-05,9.996970288237283e-07,6.143629023065423e-05,9.996970288237283e-07,6.18408247254858e-05
9.996992496455573e-07,0.7979631663475716,9.996992496455573e-07,4.901159486606305e-05,9.996992496455573e-07,3.201485537771511e-05,9.996992496455573e-07,6.346515635148456e-05,9.996992496455573e-07,6.378375605300436e-05
9.997020146810258e-07,0.798218275038669,9.997020146810258e-07,4.848309909961972e-05,9.997020146810258e-07,3.020475525785505e-05,9.997020146810258e-07,6.040859978997051e-05,9.997020146810258e-07,6.051272856277052e-05
9.997050090233754e-07,0.7984531825120224,9.997050090233754e-07,5.686472138248178e-05,9.997050090233754e-07,3.45702208723316e-05,9.997050090233754e-07,6.700446085027347e-05,9.997050090233754e-07,6.693067478040284e-05
9.997101115442632e-07,0.7987358034810011,9.997101115442632e-07,8.48690905411789e-05,9.997101115442632e-07,5.134608943364269e-05,9.997101115442632e-07,9.621156678553936e-05,9.997101115442632e-07,9.617236809237691e-05
9.997137784675757e-07,0.7988502058762973,9.997137784675757e-07,9.16404080747951e-05,9.997137784675757e-07,5.412113691521049e-05,9.997137784675757e-07,0.0001025052361374193,9.997137784675757e-07,0.0001024450372768324
9.997152946748216e-07,0.7988743220572971,9.997152946748216e-07,8.669672642788575e-05,9.997152946748216e-07,4.99610335856842e-05,9.997152946748216e-07,9.620031799763923e-05,9.997152946748216e-07,9.608547816467861e-05
9.997160527784446e-07,0.7988802627874549,9.997160527784446e-07,8.074180400879855e-05,9.997160527784446e-07,4.554618500924202e-05,9.997160527784446e-07,8.879614812579773e-05,9.997160527784446e-07,8.861023695036617e-05
9.997175689856907e-07,0.7988811555582387,9.997175689856907e-07,6.376129979958943e-05,9.997175689856907e-07,3.347590027477764e-05,9.997175689856907e-07,6.746112315544313e-05,9.997175689856907e-07,6.704841620491126e-05
9.997206014001829e-07,0.7988684576185632,9.997206014001829e-07,2.798571571605432e-05,9.997206014001829e-07,9.291809304242091e-06,9.997206014001829e-07,2.15256448208379e-05,9.997206014001829e-07,2.065553806794959e-05
