VT("/net14") X,VT("/net14") Y,VT("/I0/net18") X,VT("/I0/net18") Y,VT("/net16") X,VT("/net16") Y,VT("/net17") X,VT("/net17") Y
9.998188938468292e-07,-2.560730902097427e-06,9.998188938468292e-07,-8.13905290688758e-06,9.998188938468292e-07,5.023432794694847e-06,9.998188938468292e-07,5.601318984239479e-05
9.998201880414514e-07,5.580536418391137e-06,9.998201880414514e-07,-5.516030392578424e-07,9.998201880414514e-07,7.69281667649702e-06,9.998201880414514e-07,6.252240015184896e-05
9.998227764306957e-07,1.445047303180062e-05,9.998227764306957e-07,5.751706308049087e-06,9.998227764306957e-07,8.126713879561632e-06,9.998227764306957e-07,5.420222635712541e-05
9.998237480212579e-07,1.454677918936301e-05,9.998237480212579e-07,4.839750186075986e-06,9.998237480212579e-07,6.736214544094958e-06,9.998237480212579e-07,5.086801377177852e-05
9.998256912023823e-07,1.502231120673912e-05,9.998256912023823e-07,4.06655610044551e-06,9.998256912023823e-07,5.502735120303711e-06,9.998256912023823e-07,6.648037873136424e-05
9.998284890419129e-07,2.148364200725837e-05,9.998284890419129e-07,1.012145079542001e-05,9.998284890419129e-07,8.260253489737261e-06,9.998284890419129e-07,8.602747428190236e-05
9.998295220419257e-07,2.436468796973838e-05,9.998295220419257e-07,1.306153690915774e-05,9.998295220419257e-07,9.515141620481326e-06,9.998295220419257e-07,8.272662053940223e-05
9.998315880419512e-07,2.571300218922624e-05,9.998315880419512e-07,1.41220295212507e-05,9.998315880419512e-07,8.873911059032384e-06,9.998315880419512e-07,4.44647058048443e-05
9.998338167643771e-07,2.722114099010794e-05,9.998338167643771e-07,1.523759399719827e-05,9.998338167643771e-07,8.896867641755965e-06,9.998338167643771e-07,1.485972056727987e-05
9.998373758457136e-07,3.697067183433117e-05,9.998373758457136e-07,2.394045001212265e-05,9.998373758457136e-07,1.33664577812422e-05,9.998373758457136e-07,6.286180663505684e-05
9.998409007556975e-07,4.99793821887789e-05,9.998409007556975e-07,3.466028897393552e-05,9.998409007556975e-07,1.836381848339971e-05,9.998409007556975e-07,0.0001280447443101368
9.998448131147916e-07,5.612044339823038e-05,9.998448131147916e-07,3.755211058021042e-05,9.998448131147916e-07,1.852282924939343e-05,9.998448131147916e-07,0.0001181580162813257
9.99846484067809e-07,5.396427948513203e-05,9.99846484067809e-07,3.402683696356679e-05,9.99846484067809e-07,1.58583382138161e-05,9.99846484067809e-07,9.45719485097079e-05
9.998498259738439e-07,3.91277358949883e-05,9.998498259738439e-07,1.899075201061736e-05,9.998498259738439e-07,6.967364775877636e-06,9.998498259738439e-07,6.439093902406338e-05
9.998534355866469e-07,2.208809958684314e-05,9.998534355866469e-07,5.753759584490166e-06,9.998534355866469e-07,5.292061638469469e-07,9.998534355866469e-07,4.579885596321484e-05
9.998542246755722e-07,2.121838582908517e-05,9.998542246755722e-07,6.164161718200109e-06,9.998542246755722e-07,1.164813409398364e-06,9.998542246755722e-07,4.21132512136158e-05
9.998558028534229e-07,1.934906858407759e-05,9.998558028534229e-07,6.618009780668142e-06,9.998558028534229e-07,1.655001611883099e-06,9.998558028534229e-07,2.931123032095517e-05
9.998589592091242e-07,5.225065627702151e-07,9.998589592091242e-07,-8.403306096006273e-06,9.998589592091242e-07,-7.60505569683314e-06,9.998589592091242e-07,-2.488860116251258e-05
9.998621210691114e-07,-2.249660148281671e-05,9.998621210691114e-07,-2.624907732292906e-05,9.998621210691114e-07,-1.705005200282692e-05,9.998621210691114e-07,-8.936613654892924e-05
9.998634819441181e-07,-3.109260228654931e-05,9.998634819441181e-07,-3.186228491538301e-05,9.998634819441181e-07,-1.960679531549794e-05,9.998634819441181e-07,-0.0001224703907800343
9.998662036941315e-07,-3.810641504545382e-05,9.998662036941315e-07,-3.262183462538311e-05,9.998662036941315e-07,-1.857925477202928e-05,9.998662036941315e-07,-0.0001974156644110223
