VT("/net064") X,VT("/net064") Y,VT("/net017") X,VT("/net017") Y,VT("/net072") X,VT("/net072") Y,VT("/net037") X,VT("/net037") Y,VT("/I70/I0/net44") X,VT("/I70/I0/net44") Y,VT("/I70/I0/net56") X,VT("/I70/I0/net56") Y
9.996560132991254e-07,7.269512345875996e-05,9.996560132991254e-07,6.347281526374211e-05,9.996560132991254e-07,3.854147248294027e-05,9.996560132991254e-07,-5.692897059916528e-06,9.996560132991254e-07,7.028784980503091e-05,9.996560132991254e-07,0.8001436755203237
9.996580032832501e-07,5.325099563886597e-05,9.996580032832501e-07,4.407388877152947e-05,9.996580032832501e-07,2.48599493843069e-05,9.996580032832501e-07,-9.398705103572789e-06,9.996580032832501e-07,4.693501673105108e-05,9.996580032832501e-07,0.8001217692731606
9.996610672315141e-07,1.309504968681629e-05,9.996610672315141e-07,1.799981557148211e-06,9.996610672315141e-07,-9.698245845748152e-06,9.996610672315141e-07,-2.828920431455319e-05,9.996610672315141e-07,-9.448586986314638e-07,9.996610672315141e-07,0.8000701286427918
9.996643253959737e-07,-3.227630357035641e-05,9.996643253959737e-07,-4.61351967653189e-05,9.996643253959737e-07,-4.910161881847813e-05,9.996643253959737e-07,-5.068636358626234e-05,9.996643253959737e-07,-5.441156928074902e-05,9.996643253959737e-07,0.8000066057210846
9.996688939037912e-07,-8.83152539533247e-05,9.996688939037912e-07,-0.0001036317877841595,9.996688939037912e-07,-9.402140047789411e-05,9.996688939037912e-07,-7.250274933362566e-05,9.996688939037912e-07,-0.0001186299306800119,9.996688939037912e-07,0.7999211937762335
9.996744279542042e-07,-0.0001237715036588742,9.996744279542042e-07,-0.0001351843581735362,9.996744279542042e-07,-0.0001134764530385632,9.996744279542042e-07,-7.147440903497459e-05,9.996744279542042e-07,-0.0001535345762696682,9.996744279542042e-07,0.7998543128377847
9.996801854543599e-07,-0.0001393045558451794,9.996801854543599e-07,-0.0001470276436748996,9.996801854543599e-07,-0.0001190168369919748,9.996801854543599e-07,-6.630325071500651e-05,9.996801854543599e-07,-0.0001653288881060043,9.996801854543599e-07,0.7998095972885761
9.996825825747386e-07,-0.0001270319096221401,9.996825825747386e-07,-0.0001306053420550759,9.996825825747386e-07,-0.0001020513865477111,9.996825825747386e-07,-4.966917561568674e-05,9.996825825747386e-07,-0.000146699583020565,9.996825825747386e-07,0.7998162823301408
9.996873768154961e-07,-5.131277910434792e-05,9.996873768154961e-07,-4.119319876640496e-05,9.996873768154961e-07,-2.041106755152381e-05,9.996873768154961e-07,1.443499930834159e-05,9.996873768154961e-07,-4.566049823301705e-05,9.996873768154961e-07,0.7999041875408971
9.996886481877898e-07,-2.633623643036656e-05,9.996886481877898e-07,-1.305692502161812e-05,9.996886481877898e-07,3.590571297004674e-06,9.996886481877898e-07,3.05582151318528e-05,9.996886481877898e-07,-1.342895551552572e-05,9.996886481877898e-07,0.7999350946127685
9.996911909323772e-07,8.524257325824494e-06,9.996911909323772e-07,2.312195554208e-05,9.996911909323772e-07,3.129037507574005e-05,9.996911909323772e-07,4.304705926316602e-05,9.996911909323772e-07,2.877548577689878e-05,9.996911909323772e-07,0.7999775082237681
9.99692191625637e-07,1.761789485634456e-05,9.99692191625637e-07,3.133548082997642e-05,9.99692191625637e-07,3.637131983459436e-05,9.99692191625637e-07,4.258998050336263e-05,9.99692191625637e-07,3.850671619056838e-05,9.99692191625637e-07,0.7999884319827166
9.996941930121568e-07,3.751250592801146e-05,9.996941930121568e-07,5.040936401610425e-05,9.996941930121568e-07,5.022634998712451e-05,9.996941930121568e-07,4.645515192677321e-05,9.996941930121568e-07,5.996737576929778e-05,9.996941930121568e-07,0.800014392420737
9.996970288237283e-07,6.945399694016569e-05,9.996970288237283e-07,8.298618227897995e-05,9.996970288237283e-07,7.628755785035519e-05,9.996970288237283e-07,5.970941447287581e-05,9.996970288237283e-07,9.571103390502736e-05,9.996970288237283e-07,0.800060315029594
9.996992496455573e-07,8.32922102434111e-05,9.996992496455573e-07,9.523230700787058e-05,9.996992496455573e-07,8.379524530432497e-05,9.996992496455573e-07,5.934868170436333e-05,9.996992496455573e-07,0.0001093460451636626,9.996992496455573e-07,0.8000830724541202
9.997020146810258e-07,9.210716653634468e-05,9.997020146810258e-07,0.0001011504858170257,9.997020146810258e-07,8.529138157347969e-05,9.997020146810258e-07,5.392339608956115e-05,9.997020146810258e-07,0.0001156426437776875,9.997020146810258e-07,0.8001019054491587
9.997050090233754e-07,0.0001080168306746479,9.997050090233754e-07,0.0001168472748848383,9.997050090233754e-07,9.741843550561366e-05,9.997050090233754e-07,5.956485774322958e-05,9.997050090233754e-07,0.000132112638686808,9.997050090233754e-07,0.8001328969971414
9.997101115442632e-07,0.000153527361716953,9.997101115442632e-07,0.0001667859553332063,9.997101115442632e-07,0.0001398985451781635,9.997101115442632e-07,8.779296378549644e-05,9.997101115442632e-07,0.0001866053362107327,9.997101115442632e-07,0.8002136170699268
9.997137784675757e-07,0.000173524679540697,9.997137784675757e-07,0.0001863666077208356,9.997137784675757e-07,0.0001536017784631962,9.997137784675757e-07,9.141626385506111e-05,9.997137784675757e-07,0.0002089136231094128,9.997137784675757e-07,0.800254383333551
9.997152946748216e-07,0.0001727974279863694,9.997152946748216e-07,0.0001833541853045968,9.997152946748216e-07,0.0001485082505973375,9.997152946748216e-07,8.33164412368863e-05,9.997152946748216e-07,0.0002061679968387483,9.997152946748216e-07,0.8002588261016255
9.997160527784446e-07,0.0001675629292477146,9.997160527784446e-07,0.0001759942445215724,9.997160527784446e-07,0.0001405888315491359,9.997160527784446e-07,7.4900765731287e-05,9.997160527784446e-07,0.0001983036846062039,9.997160527784446e-07,0.8002542887664219
9.997175689856907e-07,0.0001483393074479472,9.997175689856907e-07,0.0001511604563888288,9.997175689856907e-07,0.0001160021425256919,9.997175689856907e-07,5.17813110009884e-05,9.997175689856907e-07,0.0001710664051667533,9.997175689856907e-07,0.8002330792152691
9.997206014001829e-07,9.531501212819717e-05,9.997206014001829e-07,8.754017462083025e-05,9.997206014001829e-07,5.820721330746078e-05,9.997206014001829e-07,5.504539850743368e-06,9.997206014001829e-07,9.952359596715912e-05,9.997206014001829e-07,0.8001702339002239
9.997215054797846e-07,8.069901966983582e-05,9.997215054797846e-07,7.106790545991888e-05,9.997215054797846e-07,4.48116175626328e-05,9.997215054797846e-07,-2.75881133738022e-06,9.997215054797846e-07,8.052739864395766e-05,9.997215054797846e-07,0.8001532142475066
9.99723313638988e-07,6.102497949852701e-05,9.99723313638988e-07,5.075073280418733e-05,9.99723313638988e-07,3.048553395073834e-05,9.99723313638988e-07,-7.380886505517749e-06,9.99723313638988e-07,5.69056110284541e-05,9.99723313638988e-07,0.8001322620704981
9.997258608627724e-07,3.103798091400414e-05,9.997258608627724e-07,1.987856616301757e-05,9.997258608627724e-07,6.586180820579519e-06,9.997258608627724e-07,-1.838945595244824e-05,9.997258608627724e-07,2.210374414735715e-05,9.997258608627724e-07,0.8000967118469086
9.997283519505524e-07,-6.286173353539786e-06,9.997283519505524e-07,-2.015727563922123e-05,9.997283519505524e-07,-2.690175373037445e-05,9.997283519505524e-07,-3.898725688724094e-05,9.997283519505524e-07,-2.311357254749602e-05,9.997283519505524e-07,0.8000460258034391
9.997318356972152e-07,-5.268991373790769e-05,9.997318356972152e-07,-6.85447245729259e-05,9.997318356972152e-07,-6.578453744001752e-05,9.997318356972152e-07,-5.998927397022851e-05,9.997318356972152e-07,-7.858973792540236e-05,9.997318356972152e-07,0.7999771879479578
9.997388031905407e-07,-0.0001180709083633821,9.997388031905407e-07,-0.0001329452689905744,9.997388031905407e-07,-0.0001141892190711741,9.997388031905407e-07,-7.809908285729358e-05,9.997388031905407e-07,-0.0001514332786857063,9.997388031905407e-07,0.7998670795531263
9.997460728602843e-07,-0.0001372360905050216,9.997460728602843e-07,-0.0001454659223108644,9.997460728602843e-07,-0.0001171458146400194,9.997460728602843e-07,-6.429551704482318e-05,9.997460728602843e-07,-0.0001632559444324766,9.997460728602843e-07,0.79981231190126
9.997480691570504e-07,-0.0001300279846404172,9.997480691570504e-07,-0.0001353252119921003,9.997480691570504e-07,-0.0001065544467351531,9.997480691570504e-07,-5.370414519004425e-05,9.997480691570504e-07,-0.0001513373523467354,9.997480691570504e-07,0.799814237583464
9.997520617505826e-07,-7.417703671826622e-05,9.997520617505826e-07,-6.773556804095037e-05,9.997520617505826e-07,-4.369255458894469e-05,9.997520617505826e-07,-2.48610105802758e-06,9.997520617505826e-07,-7.588462006826214e-05,9.997520617505826e-07,0.7998759035864208
9.997571534208958e-07,1.455619617219464e-05,9.997571534208958e-07,3.205213965908053e-05,9.997571534208958e-07,3.874046223051482e-05,9.997571534208958e-07,4.97922294032293e-05,9.997571534208958e-07,3.342731942258399e-05,9.997571534208958e-07,0.7999810273584712
9.997586558727192e-07,3.554326439188881e-05,9.997586558727192e-07,5.381754075090997e-05,9.997586558727192e-07,5.28198680561806e-05,9.997586558727192e-07,5.257278643012658e-05,9.997586558727192e-07,5.548826415256726e-05,9.997586558727192e-07,0.8000040584214093
9.99761660776366e-07,7.250756479112697e-05,9.99761660776366e-07,9.200803703492124e-05,9.99761660776366e-07,7.553698813014687e-05,9.99761660776366e-07,5.502674834975192e-05,9.99761660776366e-07,8.92432062644537e-05,9.99761660776366e-07,0.8000428579126384
9.997625064348448e-07,8.281845065498992e-05,9.997625064348448e-07,0.0001028195052437665,9.997625064348448e-07,8.224313851174289e-05,9.997625064348448e-07,5.691848701453126e-05,9.997625064348448e-07,9.843774675065435e-05,9.997625064348448e-07,0.8000543217831717
9.997641977518023e-07,9.920303841112147e-05,9.997641977518023e-07,0.0001195116801233386,9.997641977518023e-07,9.182915760144163e-05,9.997641977518023e-07,5.957576796273598e-05,9.997641977518023e-07,0.0001138476668692846,9.997641977518023e-07,0.8000753868218686
9.99766733319664e-07,0.0001076244444979913,9.99766733319664e-07,0.0001263264592137766,9.99766733319664e-07,9.071372144516345e-05,9.99766733319664e-07,5.339949246304854e-05,9.99766733319664e-07,0.0001197566731823833,9.99766733319664e-07,0.8000919899041689
9.997691643341334e-07,0.0001133468086010424,9.997691643341334e-07,0.0001323924683253325,9.997691643341334e-07,9.211613702983881e-05,9.997691643341334e-07,5.231894637294225e-05,9.997691643341334e-07,0.0001251089679500729,9.997691643341334e-07,0.8001096595817808
9.997740263630724e-07,0.000144456342757028,9.997740263630724e-07,0.0001716302433078659,9.997740263630724e-07,0.0001242322797158014,9.997740263630724e-07,7.679459786472126e-05,9.997740263630724e-07,0.0001667463058085667,9.997740263630724e-07,0.8001790424357226
9.997773709724226e-07,0.0001701286708705736,9.997773709724226e-07,0.0002027157654663288,9.997773709724226e-07,0.0001487564186114892,9.997773709724226e-07,9.175299102986117e-05,9.997773709724226e-07,0.0002003331468589967,9.997773709724226e-07,0.8002315312246256
9.997826506741157e-07,0.000154871096736989,9.997826506741157e-07,0.0001810470187388738,9.997826506741157e-07,0.0001265703656422754,9.997826506741157e-07,6.69846162354158e-05,9.997826506741157e-07,0.0001852812937029442,9.997826506741157e-07,0.8002447203376312
9.99787134083552e-07,5.570434511061606e-05,9.99787134083552e-07,5.620760345788684e-05,9.99787134083552e-07,3.63929808024998e-05,9.99787134083552e-07,9.669895241313139e-06,9.99787134083552e-07,8.60525046783343e-05,9.99787134083552e-07,0.8001696567746079
9.997887352659415e-07,7.17012918419239e-06,9.997887352659415e-07,-6.076411686002939e-06,9.997887352659415e-07,-5.49588201717877e-07,9.997887352659415e-07,-3.689072590208993e-06,9.997887352659415e-07,4.722327710807175e-05,9.997887352659415e-07,0.8001417770588516
9.997913512483393e-07,-7.80612898575688e-05,9.997913512483393e-07,-0.0001156883048958724,9.997913512483393e-07,-5.474456233022342e-05,9.997913512483393e-07,-1.591630200815042e-05,9.997913512483393e-07,-1.129643639930259e-05,9.997913512483393e-07,0.8001042328454629
9.997948932902277e-07,-0.000181986488187972,9.997948932902277e-07,-0.0002484028992670588,9.997948932902277e-07,-0.000112523001988847,9.997948932902277e-07,-3.889062425996364e-05,9.997948932902277e-07,-9.35674727451596e-05,9.997948932902277e-07,0.8000408677119032
9.997979540697984e-07,-0.0002401239510024005,9.997979540697984e-07,-0.0003268773295125345,9.997979540697984e-07,-0.0001458908071120847,9.997979540697984e-07,-6.363292282061357e-05,9.997979540697984e-07,-0.0001565029019240388,9.997979540697984e-07,0.7999729187853776
9.998020216552865e-07,-0.0002600204738541218,9.998020216552865e-07,-0.0003627958039351573,9.998020216552865e-07,-0.0001499433332871743,9.998020216552865e-07,-6.79238582303317e-05,9.998020216552865e-07,-0.0001874785943032651,9.998020216552865e-07,0.799913972784261
9.998060960866545e-07,-0.0002696780684760744,9.998060960866545e-07,-0.0003728979757588384,9.998060960866545e-07,-0.0001585493080211219,9.998060960866545e-07,-7.3215960390555e-05,9.998060960866545e-07,-0.000206087251569194,9.998060960866545e-07,0.7998600102424884
9.998128174797598e-07,-0.0002871595795975921,9.998128174797598e-07,-0.000271418034854787,9.998128174797598e-07,-0.0001643414992626188,9.998128174797598e-07,-6.279835624631884e-05,9.998128174797598e-07,-0.0002059960498417385,9.998128174797598e-07,0.7998144878089947
9.998148429354496e-07,-0.0002795559130889422,9.998148429354496e-07,-0.0001464722395785704,9.998148429354496e-07,-0.000144384592399359,9.998148429354496e-07,-4.695930393742568e-05,9.998148429354496e-07,-0.000185135534772826,9.998148429354496e-07,0.7998259023683284
9.998188938468292e-07,-0.0002002417972422712,9.998188938468292e-07,0.0002895053659947218,9.998188938468292e-07,-5.033708396100482e-05,9.998188938468292e-07,5.954317528050883e-06,9.998188938468292e-07,-8.940252839567191e-05,9.998188938468292e-07,0.7998987859449083
9.998201880414514e-07,-0.0001564509645924582,9.998201880414514e-07,0.0004295703696897669,9.998201880414514e-07,-1.585616335591694e-05,9.998201880414514e-07,2.131464123734384e-05,9.998201880414514e-07,-5.167506525901929e-05,9.998201880414514e-07,0.7999272395058614
9.998227764306957e-07,-1.632615488119755e-05,9.998227764306957e-07,0.0005774494907301981,9.998227764306957e-07,6.025221280586092e-05,9.998227764306957e-07,3.715054403534986e-05,9.998227764306957e-07,1.806603171531579e-05,9.998227764306957e-07,0.7999698233122422
9.998237480212579e-07,7.699006732615037e-05,9.998237480212579e-07,0.0005732675541620757,9.998237480212579e-07,0.0001055431790908401,9.998237480212579e-07,3.739173673140565e-05,9.998237480212579e-07,4.535507889576416e-05,9.998237480212579e-07,0.7999783930103549
9.998256912023823e-07,0.0003514872898253876,9.998256912023823e-07,0.0005248128639064106,9.998256912023823e-07,0.00024340315930784,9.998256912023823e-07,3.932438079478524e-05,9.998256912023823e-07,0.0001265180751338113,9.998256912023823e-07,0.7999960899804727
9.998284890419129e-07,0.0008630899808180971,9.998284890419129e-07,0.000452219617184451,9.998284890419129e-07,0.0004863903414424554,9.998284890419129e-07,5.199885418685384e-05,9.998284890419129e-07,0.0003123660943786592,9.998284890419129e-07,0.8000348094545503
9.998295220419257e-07,0.001072891991597753,9.998295220419257e-07,0.0004257937089457886,9.998295220419257e-07,0.0005788754830854312,9.998295220419257e-07,5.713233138213145e-05,9.998295220419257e-07,0.0003960545696802247,9.998295220419257e-07,0.8000504399320304
9.998315880419512e-07,0.001465649706938306,9.998315880419512e-07,0.0003722190605962924,9.998315880419512e-07,0.0007325193927990351,9.998315880419512e-07,5.774020030893231e-05,9.998315880419512e-07,0.0005531298681530118,9.998315880419512e-07,0.8000705050688753
9.998338167643771e-07,0.001856328575236495,9.998338167643771e-07,0.0003291734099156312,9.998338167643771e-07,0.0008748429011686243,9.998338167643771e-07,5.675147450965328e-05,9.998338167643771e-07,0.000713414173298882,9.998338167643771e-07,0.8000891151212611
9.998373758457136e-07,0.002423210424493613,9.998373758457136e-07,0.0003220994434088444,9.998373758457136e-07,0.001093966607228831,9.998373758457136e-07,6.920720206750139e-05,9.998373758457136e-07,0.0009618301794322151,9.998373758457136e-07,0.8001368172957509
9.998409007556975e-07,0.002933665154485388,9.998409007556975e-07,0.0003521135161225493,9.998409007556975e-07,0.001300696515641981,9.998409007556975e-07,8.90710281218056e-05,9.998409007556975e-07,0.001195287233567199,9.998409007556975e-07,0.8001978455874666
9.998448131147916e-07,0.003467088166827296,9.998448131147916e-07,0.0003449679305238701,9.998448131147916e-07,0.001509207910160856,9.998448131147916e-07,9.678893042001543e-05,9.998448131147916e-07,0.001423242305599039,9.998448131147916e-07,0.80025024330331
9.99846484067809e-07,0.00363233761978202,9.99846484067809e-07,0.000315551285752215,9.99846484067809e-07,0.001553988942414884,9.99846484067809e-07,9.006721831984201e-05,9.99846484067809e-07,0.001495166707628629,9.99846484067809e-07,0.8002593957338218
9.998498259738439e-07,0.00349880188111479,9.998498259738439e-07,0.0001812471222096313,9.998498259738439e-07,0.001375828316182132,9.998498259738439e-07,5.028054099857914e-05,9.998498259738439e-07,0.001466064950237087,9.998498259738439e-07,0.8002285127967775
9.998534355866469e-07,0.001985250185536092,9.998534355866469e-07,-9.815610902891585e-05,9.998534355866469e-07,0.0004472783786795326,9.998534355866469e-07,-1.185158251743892e-05,9.998534355866469e-07,0.0009796717902134954,9.998534355866469e-07,0.8001402102272748
